log_id,customer_id,event_time,page,device,duration_sec
1,103,2024-09-22 05:11:00,/category,Mobile,37
2,196,2024-03-15 19:52:00,/offers,Tablet,194
3,8,2024-06-05 23:41:00,/product,Desktop,260
4,192,2024-09-10 03:36:00,/home,Mobile,216
5,334,2024-04-07 21:38:00,/home,Desktop,193
6,307,2024-06-19 22:13:00,/thankyou,Mobile,162
7,321,2024-01-18 23:26:00,/category,Desktop,154
8,38,2024-03-12 07:18:00,/payment,Mobile,281
9,271,2024-10-06 20:58:00,/category,Tablet,1
10,347,2024-10-07 17:33:00,/offers,Desktop,16
11,269,2024-02-05 03:07:00,/home,Desktop,51
12,145,2024-03-30 06:58:00,/thankyou,Mobile,126
13,400,2024-07-30 17:27:00,/home,Tablet,171
14,286,2024-09-15 09:46:00,/checkout,Desktop,108
15,411,2024-09-06 04:35:00,/search,Mobile,89
16,221,2024-09-10 16:55:00,/thankyou,Mobile,287
17,401,2024-04-24 02:28:00,/category,Mobile,259
18,29,2024-06-04 07:57:00,/offers,Desktop,124
19,24,2024-08-28 19:27:00,/profile,Desktop,193
20,263,2024-05-13 06:01:00,/search,Tablet,63
21,285,2024-01-17 02:14:00,/offers,Tablet,242
22,143,2024-08-24 05:40:00,/category,Mobile,117
23,54,2024-03-03 05:26:00,/thankyou,Desktop,226
24,159,2024-07-17 00:15:00,/cart,Mobile,68
25,352,2024-04-18 03:38:00,/product,Mobile,251
26,271,2024-02-28 15:17:00,/home,Desktop,91
27,361,2024-05-05 04:47:00,/profile,Desktop,270
28,279,2024-10-09 03:08:00,/search,Tablet,163
29,313,2024-03-26 00:49:00,/thankyou,Mobile,13
30,439,2024-05-13 03:58:00,/thankyou,Desktop,67
31,444,2024-08-20 05:42:00,/thankyou,Mobile,284
32,455,2024-10-17 03:30:00,/home,Tablet,177
33,116,2024-02-19 01:27:00,/home,Mobile,236
34,309,2024-04-02 11:03:00,/search,Mobile,204
35,445,2024-03-27 05:19:00,/cart,Tablet,10
36,39,2024-04-20 22:36:00,/profile,Mobile,91
37,16,2024-10-16 22:16:00,/offers,Mobile,160
38,3,2024-02-08 09:27:00,/thankyou,Tablet,199
39,43,2024-04-30 13:45:00,/home,Desktop,254
40,74,2024-09-08 05:20:00,/home,Tablet,145
41,187,2024-01-25 23:45:00,/category,Tablet,4
42,223,2024-04-14 23:32:00,/payment,Mobile,124
43,492,2024-04-15 12:22:00,/home,Mobile,206
44,364,2024-04-05 14:22:00,/product,Desktop,35
45,19,2024-06-08 19:40:00,/checkout,Desktop,62
46,249,2024-05-05 01:12:00,/payment,Tablet,39
47,415,2024-06-22 03:25:00,/cart,Mobile,65
48,16,2024-07-21 15:07:00,/cart,Mobile,77
49,151,2024-01-01 16:18:00,/checkout,Mobile,104
50,174,2024-10-17 21:33:00,/thankyou,Desktop,173
51,123,2024-05-01 19:13:00,/home,Mobile,197
52,116,2024-09-21 12:21:00,/profile,Desktop,103
53,114,2024-02-21 20:04:00,/payment,Tablet,10
54,360,2024-01-06 00:56:00,/offers,Desktop,53
55,201,2024-03-13 23:16:00,/thankyou,Desktop,185
56,23,2024-02-17 10:35:00,/thankyou,Tablet,124
57,332,2024-03-03 09:08:00,/thankyou,Desktop,3
58,495,2024-01-10 07:41:00,/category,Desktop,190
59,445,2024-07-03 17:26:00,/checkout,Desktop,148
60,330,2024-03-23 02:00:00,/search,Tablet,55
61,391,2024-01-11 04:47:00,/cart,Mobile,2
62,49,2024-07-11 11:52:00,/search,Tablet,268
63,281,2024-01-04 13:51:00,/home,Tablet,58
64,437,2024-09-06 11:54:00,/home,Desktop,176
65,62,2024-10-23 05:30:00,/thankyou,Desktop,243
66,325,2024-06-30 00:42:00,/checkout,Desktop,49
67,454,2024-07-19 22:06:00,/product,Tablet,75
68,345,2024-09-20 21:24:00,/checkout,Mobile,221
69,178,2024-08-05 18:21:00,/offers,Tablet,256
70,402,2024-03-25 00:20:00,/product,Mobile,132
71,433,2024-10-11 16:35:00,/search,Mobile,117
72,197,2024-06-22 07:45:00,/checkout,Desktop,193
73,386,2024-05-31 03:01:00,/checkout,Desktop,74
74,370,2024-08-28 03:55:00,/category,Desktop,152
75,173,2024-04-21 02:11:00,/checkout,Desktop,298
76,189,2024-06-30 00:31:00,/offers,Mobile,26
77,75,2024-01-10 14:33:00,/category,Desktop,157
78,241,2024-04-10 10:45:00,/thankyou,Desktop,70
79,416,2024-08-17 23:28:00,/product,Tablet,131
80,105,2024-07-30 21:28:00,/search,Mobile,13
81,290,2024-09-23 05:26:00,/checkout,Desktop,30
82,331,2024-09-24 03:58:00,/checkout,Tablet,221
83,341,2024-06-01 15:05:00,/home,Mobile,102
84,215,2024-01-04 15:00:00,/checkout,Mobile,252
85,31,2024-08-07 00:26:00,/product,Mobile,186
86,87,2024-06-20 11:01:00,/cart,Tablet,42
87,97,2024-05-10 03:11:00,/profile,Desktop,96
88,96,2024-10-06 00:57:00,/category,Desktop,154
89,475,2024-02-05 16:47:00,/payment,Desktop,17
90,50,2024-07-17 08:26:00,/profile,Tablet,19
91,180,2024-10-08 09:09:00,/offers,Mobile,284
92,59,2024-08-16 06:24:00,/category,Mobile,109
93,387,2024-07-26 21:06:00,/search,Mobile,279
94,84,2024-10-26 14:26:00,/payment,Desktop,56
95,70,2024-02-01 13:03:00,/checkout,Desktop,143
96,370,2024-07-28 16:22:00,/thankyou,Desktop,238
